Date,strategy,benchmark
2019-01-02,1.0,1.0
2019-01-03,1.0,0.9761371776686972
2019-01-04,0.9995,1.008833513519836
2019-01-07,1.006964459052015,1.0167881503153933
2019-01-08,1.0180137522104715,1.0263411404479552
2019-01-09,1.025760992683079,1.0311374925247196
2019-01-10,1.0340384173742794,1.03477506563354
2019-01-11,1.0327478136484913,1.0351747219712517
2019-01-14,1.025068873990913,1.0288591725855747
2019-01-15,1.0397080721239798,1.0406507006328538
2019-01-16,1.0422836627788772,1.043168936780855
2019-01-17,1.0512695619197003,1.0510832475243002
2019-01-18,1.0659701772990693,1.0650729874341847
2019-01-22,1.0553858035867059,1.0506834551796673
2019-01-23,1.056277368595066,1.0528820070595755
2019-01-24,1.0607888972051331,1.053441403526143
2019-01-25,1.0657912440956765,1.06235516112944
2019-01-28,1.0585545840164428,1.0542810422536786
2019-01-29,1.0567892963720666,1.0528820070595757
2019-01-30,1.0754790228004834,1.0695497912497776
2019-01-31,1.086450754600251,1.0789431092569441
2019-02-01,1.093901256099812,1.079462859706005
2019-02-04,1.10037134894111,1.0870572821709754
2019-02-05,1.1039125414070377,1.0916137180388839
2019-02-06,1.1070600979488834,1.0901750368272745
2019-02-07,1.1018582576107254,1.0797826119775586
2019-02-08,1.1076356940359597,1.081101675102043
2019-02-11,1.1121933884061457,1.0817011256068803
2019-02-12,1.1240997311414724,1.09561136947137
2019-02-13,1.1276758526837103,1.0991682224725057
2019-02-14,1.1166550166817322,1.0967302304079654
2019-02-15,1.125729575546578,1.1086823826290877
2019-02-19,1.1261064235197842,1.1106005562411065
2019-02-20,1.1301953265583529,1.1128389581489029
2019-02-21,1.1279284403924479,1.1088817007719893
2019-02-22,1.1360548272247861,1.115756646624234
2019-02-25,1.1383707089689399,1.117275435912383
2019-02-26,1.136317127193855,1.1164761912404202
2019-02-27,1.1387238650663403,1.1159966308365503
2019-02-28,1.1419897094597966,1.1139181050645308
2019-03-01,1.150356897600273,1.1208730229863941
2019-03-04,1.1437680116974869,1.116796079518895
2019-03-05,1.1414140531857522,1.1152768822099823
2019-03-06,1.1347645159261146,1.1085217584552447
2019-03-07,1.1281205555381124,1.099248534559427
2019-03-08,1.1267532124301163,1.09705011868644
2019-03-11,1.1434999272902697,1.1129584402291068
2019-03-12,1.148430916377566,1.1171556818183368
2019-03-13,1.15208846438937,1.1245503781196422
2019-03-14,1.1543429142307353,1.123831105517298
2019-03-15,1.1593541679588473,1.1293831120478064
2019-03-18,1.1576343319283389,1.133478076432354
2019-03-19,1.1547259660122664,1.1337596787625335
2019-03-20,1.146881340179723,1.130346585077022
2019-03-21,1.1639538957444164,1.1431136907694965
2019-03-22,1.1468952957959795,1.1211132112090927
2019-03-25,1.144715570396039,1.120269900294687
2019-03-26,1.1534560718187483,1.1286201812237828
2019-03-27,1.1483205370521936,1.1227187049094562
2019-03-28,1.1503148494369757,1.1269743614713073
2019-03-29,1.1580444412542004,1.1340804510859954
2019-04-01,1.1689447185316304,1.1475295634844271
2019-04-02,1.1673992979268597,1.148091680089417
2019-04-03,1.1719850473677635,1.149898804050341
2019-04-04,1.1713307684302598,1.1529498473118305
2019-04-05,1.1785586900311922,1.1585302112853924
2019-04-08,1.1775995163117117,1.1594133042242258
2019-04-09,1.1729794149785697,1.1534717058681687
2019-04-10,1.1790575381403527,1.157406114082334
2019-04-11,1.1829308475103286,1.1570845937208059
2019-04-12,1.1889461532182344,1.1649138321350903
2019-04-15,1.1852811636203637,1.1641505612937637
2019-04-16,1.1832573432721483,1.1649138321350903
2019-04-17,1.17158603833975,1.1620628550545686
2019-04-18,1.171414505014955,1.1643514435162583
2019-04-22,1.171733498049748,1.1653550385872042
2019-04-23,1.1841600291933643,1.175833419811068
2019-04-24,1.1867118387380395,1.1732239910224558
2019-04-25,1.187063051401039,1.1725015222574653
2019-04-26,1.1922904511811259,1.1779615201058358
2019-04-29,1.1977218775185547,1.1798082220808057
2019-04-30,1.2100307795610719,1.1804101887136838
2019-05-01,1.2024407627821985,1.1715376412074863
2019-05-02,1.2016925036891748,1.1690087285161772
2019-05-03,1.2092538228648362,1.1804507187761775
2019-05-06,1.2030818891160884,1.175592687560685
2019-05-07,1.1902268184212854,1.1559606325246683
2019-05-08,1.1837109416815408,1.154354662800081
2019-05-09,1.1839658258251977,1.1508620050657141
2019-05-10,1.1933977433332223,1.1566433872686916
2019-05-13,1.1660032125363167,1.1275765321145665
2019-05-14,1.1800170552731668,1.1377739910428564
2019-05-15,1.1813455056861704,1.144438534188128
2019-05-16,1.1916121657374152,1.1550372815371832
2019-05-17,1.1834070873035905,1.147570229553842
2019-05-20,1.17670629750193,1.139981927400322
2019-05-21,1.1884842454421536,1.150259630412073
2019-05-22,1.1931352340087549,1.1467268506359758
2019-05-23,1.1820969901929754,1.1327151456083302
2019-05-24,1.181033200121706,1.1352845203586726
2019-05-28,1.169841571002671,1.1247262350686507
2019-05-29,1.166688584924133,1.1171783269707034
2019-05-30,1.16856715556801,1.1202297782529562
2019-05-31,1.1600877478190483,1.1051344380812855
2019-06-03,1.1624695239133847,1.1023237190494155
2019-06-04,1.1829228362556765,1.1262516206924742
2019-06-05,1.1978904208093324,1.1360075331513475
2019-06-06,1.2052187060065072,1.1433941370408462
2019-06-07,1.2119839516188669,1.1548366713285312
2019-06-10,1.2176824024804245,1.1601357729892166
2019-06-11,1.2134247154002165,1.1598549186971032
2019-06-12,1.2189964665380348,1.1578074705065597
2019-06-13,1.2224764986432393,1.1625849856247492
2019-06-14,1.223354546217716,1.1613004002547689
2019-06-17,1.2178838875087168,1.1617418787207252
2019-06-18,1.231141009303106,1.1739064737526372
2019-06-19,1.2401485477435674,1.1765561605899009
2019-06-20,1.2537784945409403,1.1877975406412489
2019-06-21,1.2488389690193065,1.186070932777628
2019-06-24,1.2449974633936203,1.1846189228877486
2019-06-25,1.2227484566663318,1.172999987623371
2019-06-26,1.214789484556297,1.1718299200809739
2019-06-27,1.2278144545409322,1.1759857475627227
2019-06-28,1.239783704292164,1.1820365594764395
2019-07-01,1.2571130705932065,1.1927675055528233
2019-07-02,1.2606613094973884,1.1958740396381298
2019-07-03,1.273990401180605,1.20543532619288
2019-07-05,1.2693546889999556,1.204063832400304
2019-07-08,1.2638950151431316,1.1974475037085694
2019-07-09,1.269563851332498,1.198940451681706
2019-07-10,1.2740882041224744,1.2046687911854466
2019-07-11,1.2727028223754495,1.207492294867902
2019-07-12,1.278049183160144,1.2128988419962723
2019-07-15,1.2786768355810758,1.2133018305035514
2019-07-16,1.2708859507276076,1.2093887753760022
2019-07-17,1.267665687482247,1.201159268592861
2019-07-18,1.2735811924133782,1.205556236345756
2019-07-19,1.2600078734842917,1.1988596635705606
2019-07-22,1.2666036341579365,1.2018043494197341
2019-07-23,1.27553173662472,1.2103975387099506
2019-07-24,1.2866678447050688,1.2160856201650398
2019-07-25,1.28123850144848,1.2102764925501537
2019-07-26,1.2841661265961388,1.2183853611942612
2019-07-29,1.277605359619058,1.2161662722692639
2019-07-30,1.2724559290038595,1.2131809203506754
2019-07-31,1.2592500290330388,1.1999082769323972
2019-08-01,1.2522104266669982,1.1894594092104165
2019-08-02,1.2388132755239794,1.1805033534546512
2019-08-05,1.1983567453128012,1.1450024188830927
2019-08-06,1.219465369904648,1.1610587159559382
2019-08-07,1.2278754997510537,1.1617443268453054
2019-08-08,1.2668953730973491,1.18453772675584
2019-08-09,1.2633433090544663,1.176469252167305
2019-08-12,1.2439292431339222,1.1621475873664266
2019-08-13,1.2606370780874205,1.1802214111071692
2019-08-14,1.2209233072925436,1.1453246192792266
2019-08-15,1.2254776343401341,1.1483503652533875
2019-08-16,1.2451452500673248,1.1652943795003845
2019-08-19,1.2532533809641726,1.1793335579260962
2019-08-20,1.2498346839752963,1.1702972580868698
2019-08-21,1.264808415201879,1.1798178785722049
2019-08-22,1.2643924225641137,1.179454740092814
2019-08-23,1.2302367786186177,1.1491572943163932
2019-08-26,1.2449240710270837,1.1618653730051016
2019-08-27,1.2412050411345656,1.1573065570160737
2019-08-28,1.243447476648676,1.1654559557226751
2019-08-29,1.2588304055799582,1.1803421852531235
2019-08-30,1.260563932994143,1.179817878572205
2019-09-03,1.2539292003505718,1.1729187914914616
2019-09-04,1.2645799712972476,1.1862321009791548
2019-09-05,1.2796481202471905,1.2014817410028362
2019-09-06,1.2793331377365345,1.2024094442117972
2019-09-09,1.2655975334088585,1.203014811017703
2019-09-10,1.2473925358889562,1.2027323246425363
2019-09-11,1.2564761752718145,1.2112851198771801
2019-09-12,1.266020074718946,1.215480389366054
2019-09-13,1.2619144192937097,1.2146738683238112
2019-09-16,1.2634547542345185,1.2109221174047105
2019-09-17,1.2760983799253456,1.2139881214275232
2019-09-18,1.2747751416336517,1.2147141263724628
2019-09-19,1.273079104091916,1.2146334742682385
