date,momentum,momentum_12_1,momentum_voltarget,quality,momentum_quality,momentum_quality_voltarget,sector_neutral_mom,sector_neutral_mom_vt,multi_factor,risk_parity,mean_reversion,low_vol,dual_ma,BENCH_SPY
2000-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9608938080993009
2000-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9626128689494792
2000-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9471419058136357
2000-01-07,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,1.0,1.0,0.9985,1.0,0.9985,0.9985,1.0,1.0021485964315315
2000-01-10,1.0179806566075609,1.0179806566075609,1.0179806566075609,1.0178118449149205,1.0179806566075609,1.0179806566075609,1.0,1.0,1.0179806566075609,1.0,1.0179806566075609,1.0179806566075609,1.0,1.005586384122882
2000-01-11,0.9981108815907497,0.9981108815907497,0.9981108815907497,0.9977726925993263,0.9981108815907497,0.9981108815907497,1.0,1.0,0.9981108815907497,1.0,0.9981108815907497,0.9981108815907497,1.0,0.9935536261896463
2000-01-12,0.994007062740954,0.994007062740954,0.994007062740954,1.0058946968786677,0.994007062740954,0.994007062740954,1.0,1.0,0.994007062740954,1.0,0.994007062740954,0.994007062740954,1.0,0.9836700492037018
2000-01-13,1.015149926215986,1.015149926215986,1.015149926215986,1.025433370116733,1.015149926215986,1.015149926215986,1.0,1.0,1.015149926215986,1.0,1.015149926215986,1.015149926215986,1.0,0.996991831392254
2000-01-14,1.0403299076584982,1.0403299076584982,1.0403299076584982,1.0477966247165147,1.0403299076584982,1.0403299076584982,1.0,1.0,1.0403299076584982,1.0,1.0372844578798504,1.0403299076584982,1.0,1.0105284648737343
2000-01-18,1.0489226132413143,1.0489226132413143,1.0489226132413143,1.0617038827803467,1.0489226132413143,1.0489226132413143,1.0,1.0,1.0489226132413143,1.0,1.0138065645167034,1.0489226132413143,1.0,1.002578633026393
2000-01-19,1.0539756850335378,1.0539756850335378,1.0539756850335378,1.055393706146686,1.0539756850335378,1.0539756850335378,1.0,1.0,1.0539756850335378,1.0,1.0137990688248903,1.0539756850335378,1.0,1.0107431491621592
2000-01-20,1.0489438699654283,1.0489438699654283,1.0489438699654283,1.0568605410152423,1.0489438699654283,1.0489438699654283,1.0,1.0,1.0489438699654283,1.0,0.9899863009132013,1.0489438699654283,1.0,0.99527302104883
2000-01-21,1.0408581372469208,1.0408581372469208,1.0408581372469208,1.0474076052092323,1.0408581372469208,1.0408581372469208,1.0,1.0,1.0408581372469208,1.0,0.995446289042721,1.0408581372469208,1.0,0.9931239236037901
2000-01-24,1.0242047436363473,1.0242047436363473,1.0242047436363473,1.026405893306412,1.0242047436363473,1.0242047436363473,1.0,1.0,1.0242047436363473,1.0,0.9941681392524712,1.0242047436363473,1.0,0.9649767341851955
2000-01-25,1.0368575219737697,1.0368575219737697,1.0368575219737697,1.0280861304623796,1.0368575219737697,1.0368575219737697,1.0,1.0,1.0368575219737697,1.0,0.9902992631010976,1.0368575219737697,1.0,0.9759344006312771
2000-01-26,1.0272465666549575,1.0272465666549575,1.0272465666549575,1.0047009279182326,1.0272465666549575,1.0272465666549575,1.0,1.0,1.0272465666549575,1.0,1.0033275556344414,1.0272465666549575,1.0,0.968199420076864
2000-01-27,1.027681347868626,1.027681347868626,1.027681347868626,1.0042701267854814,1.027681347868626,1.027681347868626,1.0,1.0,1.027681347868626,1.0,1.0038519511551338,1.027681347868626,1.0,0.9643315957906518
2000-01-28,1.010969889938825,1.010969889938825,1.010969889938825,0.9797475437191268,1.010969889938825,1.010969889938825,1.0,1.0,1.010969889938825,1.0,0.9692081414893194,1.010969889938825,1.0,0.9342499097131909
2000-01-31,1.0020943675370788,1.0020943675370788,1.0020943675370788,0.9906496691163901,1.0020943675370788,1.0020943675370788,1.0,1.0,1.0020943675370788,1.0,0.9881452245428305,1.0020943675370788,1.0,0.9596047003417333
2000-02-01,1.011969471043757,1.011969471043757,1.011969471043757,1.0156655294904386,1.011969471043757,1.011969471043757,1.0,1.0,1.011969471043757,1.0,1.0265679272065142,1.011969471043757,1.0,0.9690587417463246
2000-02-02,1.024834214739432,1.024834214739432,1.0248342147394318,1.0351304993850663,1.024834214739432,1.0248342147394318,1.0,1.0,1.024834214739432,1.0,1.0510854187655168,1.024834214739432,1.0,0.9699181469180365
2000-02-03,1.0525491466556287,1.0525491466556287,1.0525491466556285,1.0656964007903147,1.0525491466556287,1.0525491466556285,1.0,1.0,1.0525491466556287,1.0,1.0764848923918817,1.0525491466556287,1.0,0.9845293708731623
2000-02-04,1.0742152372431262,1.0742152372431262,1.074215237243126,1.082601486495308,1.0742152372431262,1.074215237243126,1.0,1.0,1.0742152372431262,1.0,1.066181697841942,1.0742152372431262,1.0,0.9804470293030276
2000-02-07,1.0983819827532042,1.0983819827532042,1.098381982753204,1.1011551952152656,1.0983819827532042,1.098381982753204,1.0,1.0,1.0983819827532042,1.0,1.0822613989483343,1.0983819827532042,1.0,0.9789429867502804
2000-02-08,1.106407342570774,1.106407342570774,1.1064073425707739,1.1212755742225424,1.106407342570774,1.1064073425707739,1.0,1.0,1.106407342570774,1.0,1.099540840893829,1.106407342570774,1.0,0.9922646854365811
2000-02-09,1.1058938760046348,1.1058938760046348,1.1058938760046346,1.1012572466899697,1.1058938760046348,1.1058938760046346,1.0,1.0,1.1058938760046348,1.0,1.072360582216826,1.1058938760046348,1.0,0.9714222729730351
2000-02-10,1.1072504131231937,1.1072504131231937,1.1072504131231935,1.1172345568807036,1.1072504131231937,1.1072504131231935,1.0,1.0,1.1072504131231937,1.0,1.0296060267379525,1.1072504131231937,1.0,0.9733561851161413
2000-02-11,1.0923725602102512,1.0923725602102512,1.092372560210251,1.0861329780963411,1.0923725602102512,1.092372560210251,1.0,1.0,1.0923725602102512,1.0,1.0130032180674058,1.0923725602102512,1.0,0.9535884466284923
2000-02-14,1.106853065684292,1.106853065684292,1.1068530656842919,1.0817743823097232,1.106853065684292,1.1064160102659366,1.0,1.0,1.106853065684292,1.0,1.0220624922491142,1.106853065684292,1.0,0.9591748307513742
2000-02-15,1.1221039344214392,1.1221039344214392,1.122103934421439,1.0814499708108172,1.1221039344214392,1.1175837872493921,1.0,1.0,1.1221039344214392,1.0,1.048699171247275,1.1221039344214392,1.0,0.9700258648223803
2000-02-16,1.1370191028202696,1.1370191028202696,1.1370191028202694,1.0906489556140984,1.1370191028202696,1.128371996745542,1.0,1.0,1.1370191028202696,1.0,1.0314064385734918,1.1370191028202696,1.0,0.9557372100645264
2000-02-17,1.1781915834614825,1.1781915834614825,1.1781915834614822,1.1205931888269929,1.1781915834614825,1.1577702049017031,1.0,1.0,1.1781915834614825,1.0,1.0237496854110533,1.1781915834614825,1.0,0.95079546332268
2000-02-18,1.1519937588748652,1.1519937588748652,1.151993758874865,1.086426223732602,1.1519937588748652,1.1406718313596649,1.0,1.0,1.1519937588748652,1.0,1.0021019239128064,1.1519937588748652,1.0,0.9303824194359841
2000-02-22,1.1592820373202142,1.1592820373202142,1.159282037320214,1.1014818485383175,1.1592820373202142,1.1451755670126877,1.0,1.0,1.1592820373202142,1.0,1.0076445665902347,1.1592820373202142,1.0,0.928018804707022
2000-02-23,1.1699564012216703,1.1699564012216703,1.16995640122167,1.1183882568991435,1.1699564012216703,1.1517542265392253,1.0,1.0,1.1699564012216703,1.0,1.0180622362503369,1.1699564012216703,1.0,0.9389773061756179
2000-02-24,1.200453951095398,1.200453951095398,1.2004539510953978,1.1514006094532792,1.200453951095398,1.1707954023403726,1.0,1.0,1.200453951095398,1.0,1.0192349537325194,1.200453951095398,1.0,0.9200684718461722
2000-02-25,1.1750168441299291,1.1750168441299291,1.175016844129929,1.125188632200111,1.1750168441299291,1.1547361135626264,1.0,1.0,1.1750168441299291,1.0,1.0307383316170329,1.1750168441299291,1.0,0.9167386525659199
2000-02-28,1.1706595634817638,1.1706595634817638,1.1706595634817636,1.1442717420532913,1.1706595634817638,1.1520910875772368,1.0,1.0,1.1706595634817638,1.0,1.0550947678991125,1.1706595634817638,1.0,0.9359691375678718
2000-02-29,1.18661701481971,1.18661701481971,1.1866170148197097,1.1953120573348304,1.18661701481971,1.161839001988971,1.0,1.0,1.18661701481971,1.0,1.0835263999414675,1.18661701481971,1.0,0.9449937268933615
2000-03-01,1.2131225192576967,1.2131225192576967,1.2130506769054836,1.1950966662101594,1.2131225192576967,1.178374821845212,1.0,1.0,1.2131225192576967,1.0,1.0901506249575506,1.2131225192576967,1.0,0.9518697197873198
2000-03-02,1.1686615113815835,1.1686615113815835,1.1702347505104271,1.1507560805601036,1.1686615113815835,1.151320995312394,1.0,1.0,1.1686615113815835,1.0,1.0811926262984288,1.1686615113815835,1.0,0.952514106661601
2000-03-03,1.2015330074669468,1.2015330074669468,1.1990316952420506,1.1855685176355375,1.2015330074669468,1.169347607802688,1.0,1.0,1.2015330074669468,1.0,1.108575220861149,1.2015330074669468,1.0,0.9703484340196524
2000-03-06,1.249772188373452,1.249772188373452,1.2400151836914235,1.165939215342603,1.249772188373452,1.1947235606869315,1.0,1.0,1.249772188373452,1.0,1.0857038607681353,1.249772188373452,1.0,0.960893808099301
2000-03-07,1.204887214895913,1.204887214895913,1.2039186719564894,1.155603113890912,1.204887214895913,1.1726754063871998,1.0,1.0,1.204887214895913,1.0,1.0323961402076565,1.204887214895913,1.0,0.9423075429671275
2000-03-08,1.2161969874148166,1.2161969874148166,1.2124688732281688,1.1560421850850349,1.2161969874148166,1.1779844735604594,1.0,1.0,1.2161969874148166,1.0,1.0443534040499995,1.2161969874148166,1.0,0.9411257356026465
2000-03-09,1.2243214839005219,1.2243214839005219,1.218586975665563,1.2139316657860235,1.2243214839005219,1.1817773596096863,1.0,1.0,1.2243214839005219,1.0,1.0692307033173727,1.2243214839005219,1.0,0.9686291226627202
2000-03-10,1.223868987808174,1.223868987808174,1.2182124073708946,1.2194054698007575,1.223868987808174,1.1815637909917323,1.0,1.0,1.223868987808174,1.0,1.065282082922499,1.223868987808174,1.0,0.9634721071166884
2000-03-13,1.1994286372364036,1.1994286372364036,1.1992136910251914,1.19678705128759,1.1994286372364036,1.1700447899223418,1.0,1.0,1.1994286372364036,1.0,1.0627180929707094,1.1994286372364036,1.0,0.9529433917362
2000-03-14,1.164513255640134,1.164513255640134,1.1725152405053545,1.1616794887452975,1.164513255640134,1.1535261681822642,1.0,1.0,1.164513255640134,1.0,0.9881035836442238,1.164513255640134,1.0,0.9394070087614741
2000-03-15,1.1619948389821548,1.1619948389821548,1.1706149978455047,1.1897696635679909,1.1619948389821548,1.1523689622792817,1.0,1.0,1.1619948389821548,1.0,1.012127803817593,1.1619948389821548,1.0,0.9613236776896602
2000-03-16,1.226829622262051,1.226829622262051,1.2196844023066544,1.2392015254622915,1.226829622262051,1.1820647961153716,1.0,1.0,1.226829622262051,1.0,1.0650711025919528,1.226829622262051,1.0,1.006231272010672
2000-03-17,1.2226363812095193,1.2226363812095193,1.216817298397172,1.2405811883777942,1.2226363812095193,1.1803510550326584,1.0,1.0,1.2226363812095193,1.0,1.0677742469529068,1.2226363812095193,1.0,1.0128813913145138
2000-03-20,1.2148808078481694,1.2148808078481694,1.2115201012072163,1.2216516929025665,1.2148808078481694,1.1771488687587681,1.0,1.0,1.2148808078481694,1.0,0.9823473674731813,1.2148808078481694,1.0,1.0077114329195107
2000-03-21,1.2414469945402273,1.2414469945402273,1.229674859147368,1.2432482601505221,1.2414469945402273,1.1881945663126519,1.0,1.0,1.2414469945402273,1.0,1.0056802415733177,1.2414469945402273,1.0,1.0283916005085294
2000-03-22,1.2837502476390485,1.2837502476390485,1.2582338106975002,1.29423251175583,1.2837502476390485,1.2055611762797869,1.0,1.0,1.2837502476390485,1.0,1.0669610857395273,1.2837502476390485,1.0,1.03463857094247
2000-03-23,1.2840349572875869,1.2840349572875869,1.258421233431431,1.3071285798790793,1.2840349572875869,1.2056724832991663,1.0,1.0,1.2840349572875869,1.0,1.0584378955616103,1.2840349572875869,1.0,1.0523023867031023
2000-03-24,1.2798104079335066,1.2798104079335066,1.2556241151005771,1.310411583241229,1.2798104079335066,1.2040165345886271,1.0,1.0,1.2798104079335066,1.0,1.0699780524836398,1.2798104079335066,1.0,1.0585489396257854
2000-03-27,1.2798550603457204,1.2798550603457204,1.255653621063699,1.2995787923550661,1.2798550603457204,1.2040257437358188,1.0,1.0,1.2798550603457204,1.0,1.0810967882882052,1.2798550603457204,1.0,1.0473477806145357
2000-03-28,1.2729616469058775,1.2729616469058775,1.2510608392515679,1.2812514060291897,1.2729616469058775,1.2012949288833017,1.0,1.0,1.2729616469058775,1.0,1.067627892821612,1.2729616469058775,0.9984999999999999,1.041315577971272
2000-03-29,1.2767273370766106,1.2767273370766106,1.2535855696998779,1.261337144150109,1.2767273370766106,1.2027861989937445,1.0,1.0,1.2767273370766106,1.0,1.0306924815183758,1.2767273370766106,0.9845849542584052,1.0423934250327234
2000-03-30,1.2499281964652773,1.2499281964652773,1.2354333918634863,1.2179749118506942,1.2499281964652773,1.1921348343455707,1.0,1.0,1.2499281964652773,1.0,1.0070125786483417,1.2499281964652773,0.9714823794497349,1.0249441265560133
2000-03-31,1.26813452880124,1.26813452880124,1.247568879330581,1.240000299364529,1.26813452880124,1.1992953583549184,1.0,1.0,1.26813452880124,0.9985,1.032217093298522,1.2643847442118443,0.9886211710137088,1.0365772427139077
2000-04-03,1.2484066401874587,1.2484066401874587,1.2344885771359555,1.1499719914220612,1.2484066401874587,1.191307808730378,1.0,1.0,1.2484066401874587,1.002597372133306,0.878521338084122,1.2720034099924287,0.9698322731036926,1.04260877733916
