strategy,segment,CAGR,sharpe,max_dd,SPY_CAGR,SPY_sharpe,alpha_CAGR
momentum_voltarget,2019 科技牛市,0.30660211823563777,1.7958176273103614,-0.15303250702023752,0.25886828201085166,1.1617163818564726,0.04773383622478611
momentum_voltarget,2022 熊市,-0.01128439546900828,0.004389790543234059,-0.11176790700415928,-0.18713266393900863,-0.733827503803748,0.17584826847000035
momentum_voltarget,2023+ 震荡回升,0.3148931896897307,1.764866662031278,-0.13882688546608013,0.1999498070772079,1.272242826258646,0.1149433826125228
momentum_voltarget,全程,0.25863870558910884,1.5276745883788272,-0.15583135146410598,0.1604546159741953,0.8577363677200893,0.09818408961491354
momentum_quality_voltarget,2019 科技牛市,0.28592715113688993,1.6930238018129913,-0.1464032097692376,0.25886828201085166,1.1617163818564726,0.027058869126038276
momentum_quality_voltarget,2022 熊市,-0.04776397538214128,-0.23876359678698877,-0.11757726957709336,-0.18713266393900863,-0.733827503803748,0.13936868855686735
momentum_quality_voltarget,2023+ 震荡回升,0.3338718098049194,1.862537175900127,-0.1286680288192218,0.1999498070772079,1.272242826258646,0.1339220027277115
momentum_quality_voltarget,全程,0.2529775650369368,1.5031010916126377,-0.17649794082006987,0.1604546159741953,0.8577363677200893,0.0925229490627415
momentum_quality,2019 科技牛市,0.5353459884764418,1.6024060610212083,-0.31392769833294387,0.25886828201085166,1.1617163818564726,0.2764777064655901
momentum_quality,2022 熊市,-0.10894654894480282,-0.2615739576557838,-0.21148133969869343,-0.18713266393900863,-0.733827503803748,0.0781861149942058
momentum_quality,2023+ 震荡回升,0.658580552138841,1.780440798307775,-0.3217925134183317,0.1999498070772079,1.272242826258646,0.45863074506163315
momentum_quality,全程,0.47174517850561193,1.4337915569580921,-0.3217925134183316,0.1604546159741953,0.8577363677200893,0.3112905625314166
quality,2019 科技牛市,0.523694299429383,1.7070658558753282,-0.3301997883909846,0.25886828201085166,1.1617163818564726,0.2648260174185313
quality,2022 熊市,-0.2928641769577244,-0.8105538897857866,-0.3593267655423381,-0.18713266393900863,-0.733827503803748,-0.10573151301871575
quality,2023+ 震荡回升,0.512989914474675,1.9232246157757864,-0.256781293484466,0.1999498070772079,1.272242826258646,0.3130401073974671
quality,全程,0.36658271366483386,1.3103065963514378,-0.36755644859623837,0.1604546159741953,0.8577363677200893,0.20612809769063856
